Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
YAKUGAKU ZASSHI JOURNAL OF PHARMACEUTICAL SOCIETY OF JAPAN,4,,Q4
YAKUT MEDICAL JOURNAL,4,,Q4
YALE FRENCH STUDIES,4,,
YALE JOURNAL OF BIOLOGY AND MEDICINE,4,,Q1
YALE JOURNAL ON REGULATION,3,,Q1
YALE LAW JOURNAL,1,Yes,Q1
YALE REVIEW,4,,
YAZYK I KULTURA LANGUAGE AND CULTURE,4,,
YEARBOOK FOR TRADITIONAL MUSIC,1,Yes,
YEARBOOK OF COMPARATIVE LITERATURE,4,,
YEARBOOK OF PHRASEOLOGY,4,,
YEAST,4,,Q3
YONAGO ACTA MEDICA,4,,Q4
YONSEI MEDICAL JOURNAL,3,,Q1
YORKSHIRE ARCHAEOLOGICAL JOURNAL,4,,
YOUNG,2,,Q2
YOUNG CONSUMERS,3,,Q1
YOUTH,,,Q2
YOUTH AND SOCIETY,3,,Q1
YOUTH JUSTICE AN INTERNATIONAL JOURNAL,3,,Q1
YOUTH VIOLENCE AND JUVENILE JUSTICE,3,,Q3
YUKSEKOGRETIM DERGISI,4,,Q4
YUYAN KEXUE LINGUISTIC SCIENCES,3,,
